Field change time,Message,Device,Availability Period
2025-03-31 20:32:21.597,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0022,มี.ค. 2025
2025-03-31 20:32:17.524,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0022,มี.ค. 2025
2025-03-31 20:30:54.987,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0025,มี.ค. 2025
2025-03-31 20:30:22.444,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0025,มี.ค. 2025
2025-03-31 20:28:59.966,Remote unit state changed from Initializing to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:28:36.574,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:27:56.872,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0028,มี.ค. 2025
2025-03-31 20:27:50.666,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0021,มี.ค. 2025
2025-03-31 20:27:49.713,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0021,มี.ค. 2025
2025-03-31 20:27:38.522,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0028,มี.ค. 2025
2025-03-31 20:27:17.160,Remote unit state changed from Telemetry Failure to Connecting.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:27:08.945,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:25:40.353,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0027,มี.ค. 2025
2025-03-31 20:25:39.380,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0027,มี.ค. 2025
2025-03-31 20:25:23.088,Remote unit state changed from Initializing to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:25:20.034,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:25:15.963,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0027,มี.ค. 2025
2025-03-31 20:25:14.896,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0027,มี.ค. 2025
2025-03-31 20:25:00.716,Remote unit state changed from Online to Connecting.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:22:00.652,Remote unit state changed from Initializing to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:21:52.398,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,มี.ค. 2025
2025-03-31 20:21:49.406,Remote unit state changed from Online to Connecting.,S1-VSP-0024,มี.ค. 2025
